2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
3273,3418,3494,3531,Bronx,37,,1.06,Longwood Av (6)
2833,2768,3262,3504,Queens,242,,7.42,"39 Av (N,Q)"
3217,3186,3368,3500,Brooklyn,132,,3.92,Broadway (G)
3080,3148,3328,3467,Brooklyn,139,,4.18,Cleveland St (J)
3302,3415,3431,3438,Brooklyn,7,,0.2,Van Siclen Av (3)
3377,3458,3411,3419,Brooklyn,8,,0.23,Avenue N (F)
3013,3076,3222,3416,Bronx,194,,6.02,"138 St-Grand Concourse (4,5)"
3139,3236,3254,3304,Bronx,50,,1.54,Pelham Pkwy (5)
3129,3008,3308,3289,Brooklyn,19,,-0.57,50 St (D)
2548,2903,1744,3282,Brooklyn,1538,Yes,88.19,Central Av (M)
2917,2968,3149,3263,Brooklyn,114,,3.62,Shepherd Av (C)
3350,3314,3141,3124,Brooklyn,17,,-0.54,Ocean Pkwy (Q)
2497,2678,2959,3078,Brooklyn,119,,4.02,Livonia Av (L)
2829,2854,2974,3050,Brooklyn,76,,2.56,Van Siclen Av (C)
2789,2984,2967,3050,Brooklyn,83,,2.8,"Chauncey St (J,Z)"
3016,2763,2743,3015,Manhattan,272,,9.92,"Bowery (J,Z)"
2888,2757,2959,3005,Bronx,46,,1.55,"Bronx Park East (2,5)"
2174,1724,2861,2961,Brooklyn,100,Yes,3.5,Avenue H (Q)
2615,2765,2883,2940,Brooklyn,57,,1.98,"Van Siclen Av (J,Z)"
3260,3117,2793,2875,Brooklyn,82,,2.94,Bay 50 St (D)
2789,2810,2972,2859,Brooklyn,113,,-3.8,Avenue X (F)
2420,2628,2859,2859,Brooklyn,0,,0.0,"Hewes St (J,M)"
2667,2729,4972,2835,Queens,2137,,-42.98,Howard Beach-JFK Airport (A)
2618,2711,2718,2815,Queens,97,,3.57,111 St (A)
2667,2696,2757,2767,Brooklyn,10,,0.36,Avenue P (F)
3436,3567,2340,2690,Brooklyn,350,Yes,14.96,Beverley Rd (Q)
2527,2558,2575,2659,Queens,84,,3.26,"104 St (J,Z)"
2746,2687,2658,2639,Brooklyn,19,,-0.71,Liberty Av (C)
1930,2032,2373,2627,Brooklyn,254,,10.7,Flushing Av (G)
2389,2491,2515,2622,Brooklyn,107,,4.25,86 St (N)
2650,2683,2605,2596,Queens,9,,-0.35,111 St (J)
2279,2455,2529,2586,Manhattan,57,,2.25,155 St (C)
2235,2433,2428,2545,Queens,117,,4.82,Seneca Av (M)
2624,1798,1317,2448,Queens,1131,Yes,85.88,Beach 60 St (A)
2271,2387,2443,2448,Brooklyn,5,,0.2,Alabama Av (J)
2176,2248,2222,2397,Queens,175,,7.88,"121 St (J,Z)"
2142,2153,2206,2361,Brooklyn,155,,7.03,Junius St (3)
1883,1916,1514,2273,Bronx,759,Yes,50.13,Middletown Rd (6)
2506,2478,2069,2262,Brooklyn,193,,9.33,"West 8 St-New York Aquarium (F,Q)"
1871,1966,2210,2253,Bronx,43,,1.95,Morris Park (5)
2328,2290,2283,2250,Brooklyn,33,,-1.45,Avenue I (F)
2331,2229,2296,2215,Brooklyn,81,,-3.53,Avenue U (F)
1546,2236,1118,2183,Queens,1065,Yes,95.26,Beach 67 St-Arverne By The Sea (A)
3011,3315,3718,2155,Bronx,1563,,-42.04,Buhre Av (6)
2648,2680,2719,2065,Queens,654,,-24.05,88 St (A)
1949,2006,2078,2057,Manhattan,21,,-1.01,215 St (1)
2539,2741,3253,2012,Bronx,1241,,-38.15,Zerega Av (6)
1944,1983,1964,1981,Brooklyn,17,,0.87,55 St (D)
2261,2259,2077,1968,Brooklyn,109,,-5.25,Park Pl (S)
1385,1440,1580,1725,Brooklyn,145,,9.18,Atlantic Av (L)
1329,1702,904,1722,Queens,818,Yes,90.49,Beach 25 St (A)
524,2342,1685,1707,Bronx,22,Yes,1.31,Whitlock Av (6)
1720,1794,1749,1698,Brooklyn,51,,-2.92,Neptune Av (F)
1246,1322,1509,1683,Brooklyn,174,,11.53,Bushwick Av-Aberdeen St (L)
61,116,551,1597,Queens,1046,,189.84,Aqueduct Racetrack (A)
1386,1398,1575,1516,Brooklyn,59,,-3.75,Bay Pkwy (F)
1398,1434,1431,1444,Brooklyn,13,,0.91,Cypress Hills (J)
1693,1751,1736,1333,Queens,403,,-23.21,104 St (A)
1050,1123,1309,1265,Queens,44,,-3.36,21 St (G)
791,1386,1951,1122,Queens,829,,-42.49,Aqueduct-North Conduit Av (A)
871,941,911,927,Bronx,16,,1.76,East 143 St-St Mary's St (6)
1111,622,466,872,Queens,406,Yes,87.12,Beach 36 St (A)
908,1019,463,846,Queens,383,Yes,82.72,"Beach 90 St (A,S)"
